id,kudos,title,keywords,amount_keywords,romanticCategory,rating,contentWarning,words,packaged,published,up_time
27042589,11,Bridges,"Period-Typical Language, A little (implicit) Chris/OFC sex and Vin/OFC sex, Canon-Typical Violence, Some C/V sex (they are the OTP), Period-Typical Prejudices, Friends to Lovers, Prostitution",7,F/M,Mature,Graphic Depictions Of Violence,15011,2022-04-16T04:39:16,2020-10-16,18
13681566,177,Entirely by Accident,"Fluff and Angst, Friends to Lovers, Sexual Tension, Harry Potter and the Cursed Child Compliant, Implied Sexual Content",5,M/M,Not Rated,No Archive Warnings Apply,15251,2022-01-29T15:58:04,2018-02-14,47
13791840,18,Nobody's Second Choice,"Alternate Universe - Hogwarts, Friends to Lovers",2,F/M,General Audiences,No Archive Warnings Apply,443,2022-01-30T12:23:16,2018-02-24,47
14301855,294,An Unusual Request and One Hell of a Deal,"Teddy Lupin - Freeform, James Sirius Potter - Freeform, Albus Severus Potter - Freeform, Fake/Pretend Relationship, Explicit Sexual Content, Blow Jobs, Harry Potter Next Generation, Scorpius Malfoy - Freeform, Mutual Pining, a dash of praise kink, Professional Quidditch Player James S Potter, Original Male Character(s) - Freeform, More angst than i originally intended, Angst with a Happy Ending, Anal Fingering, Friends to Lovers, Rimming, Herbologist Teddy Lupin, Minor Scorpius Malfoy/Albus Severus Potter",19,M/M,Explicit,No Archive Warnings Apply,7461,2022-01-29T04:33:48,2018-04-13,45
15128201,180,won't he?,"Angst, Jacob is still missing :(, Unrequited Love, summer at the Burrow, Friendship, idk cant chose, Rowan is mad at MC, charlie is a blushing sweetheart, Fluff, very cute, Friends to Lovers, lot's of letters, you will see why;, bill weasley owns my ass but so does felix",14,F/M,General Audiences,Creator Chose Not To Use Archive Warnings,9164,2022-02-12T07:09:48,2018-07-01,43
15227424,81,This is the worthwhile fight,"Angst, Hurt/Comfort, Honestly these two are too adorable, Friends to Lovers, First Kiss, I Will Go Down With This Ship",6,M/M,Not Rated,Creator Chose Not To Use Archive Warnings,1704,2022-02-11T11:16:55,2018-07-09,43
15055727,656,Only a Kiss,"implied pansy/dean/seamus, Jealousy, Pining, polyamory positivity, Characters Watching Disney Movies, Characters Watching Musicals, supportive friendships, Black Hermione Granger, bisexual positivity, Background Relationships, Friends to Lovers, Roommates, Ron Weasley cooks, Falling In Love, wizarding university, Deaf Lisa Turpin, OMC in a background role, Brief Sexual Content, Banter",19,M/M,Mature,No Archive Warnings Apply,12462,2022-02-06T20:57:23,2018-07-11,43
15407934,1262,This Business of Adulting,"Attempt at humour, Modern Era, Minor Hermione Granger/Ron Weasley, Minor Hermione Granger/Oliver Wood, Alternate Universe - Muggle, Older Man/Younger Woman, Slow Burn, Minor Remus Lupin/Nymphadora Tonks, bad language, Domestic Violence, Angst, Dating sucks, Past Sirius Black/Remus Lupin, Dark Comedy, Roommates, Friends to Lovers, Remus Lupin Hates Cats, Sirius is a man-whore, Idiots in Love, Remus is an idiot, Dark",21,F/M,Mature,Creator Chose Not To Use Archive Warnings,79679,2022-02-08T17:32:49,2018-07-23,43
14897132,284,You Think You Hate Him (But Do You Really?),"Hogwarts Eighth Year, Fighting, Love, Tumblr Prompt, Enemies to Friends to Lovers, Kissing, mild violence, Mentions of Sex, past relationship with original character, Written for Tumblr, sharing a dorm, Enemies to Lovers, Sexual Tension, Feelings, Arguing, Unresolved Sexual Tension, Drarry, Confusion, Happy Ending, Quidditch, Bickering",21,M/M,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,1412,2022-02-09T02:40:41,2018-06-10,44
15810957,277,The Perfect Thank You Starts With Breakfast,"Pining, Acquaintances to Lovers, Draco doesn't know how to thank people, Anal Sex, Dorks, Harry just wanted to be nice, Anal Fingering, misuse of aprons, Fluff, Not Epilogue Compliant, Friends to Lovers, Food makes everything better, Love Confessions, Post Hogwarts, Falling In Love",15,M/M,Explicit,No Archive Warnings Apply,4421,2022-02-08T09:46:08,2018-08-27,42
16456718,180,Us,"Goblins, Grinding, Christmas, Pining, New Year's Eve, First Time Blow Jobs, Epistolary, Holidays, Explicit Language, Aromantic, Explicit Sexual Content, Asexual Character, Blow Jobs, Friendship, Pop Culture, Sexual Identity, Magic, Magical Animals, Christmas Presents, Eventual Smut, Masturbation, Texting, Anal Fingering, Community: ThePen15isMightier, Fluff and Smut, Friends to Lovers, Spells & Enchantments, Dinosaurs, Courtship, Loss of Virginity, Romantic Fluff, Coming Out, Fluff and Humor, Clubbing, Romantic Friendship, Excessive Drinking",36,M/M,Explicit,No Archive Warnings Apply,64953,2022-02-08T08:07:30,2018-10-30,40
16379153,19,Treasure Hunt,"Angst, Hogwarts, Adventure, Hogwarts Eighth Year, Drama, Action/Adventure, Adventure & Romance, Angst with a Happy Ending, Romance, Eventual Romance",10,F/M,Teen And Up Audiences,No Archive Warnings Apply,21340,2022-09-01T20:48:05,2018-10-22,47
16457249,1588,"Veela, My Veela","Romance, Fluff and Smut, Smut, Fluff, Eventual Romance, Veela Draco Malfoy",6,F/M,Explicit,No Archive Warnings Apply,15962,2022-02-08T09:14:29,2018-10-30,40
15808272,1182,Dirty Talk,"Boys In Love, First Kiss, Hand Jobs, Hung Harry Potter, Dirty Talk, Swearing, Awkward First Times, Boys Kissing, First Time Blow Jobs, Hopeful Ending, Enemies to Lovers",11,M/M,Explicit,No Archive Warnings Apply,3010,2022-02-08T04:24:55,2018-08-26,42
16977186,3172,Harry Potter and The Bisexual Awakening,"Seven Minutes In Heaven Game, Post-Second War with Voldemort, Party Games, Driving, Community: hd_erised, Boys In Love, Blow Jobs, Bisexual Male Character, Dogs, POV Harry Potter, Party, Gay Male Character, Hand Jobs, H/D Erised 2018, Bisexuality, Pets, Anal Fingering, Friends to Lovers, Biphobia, Post-Hogwarts, Coming Out, Banter, Queer Themes",23,M/M,Explicit,No Archive Warnings Apply,23186,2022-02-23T04:02:53,2018-12-17,38
5053585,296,Never Burn Out,"First Time, Black James Potter, Mixtape, Pining, Musical References, Getting Together, Explicit Consent, POC James Potter, New Years, Alternate Universe - Modern Setting, Making Out, Fluff and Smut, Homophobia, Marauders, 1990s, Friends to Lovers, First Kiss, Marijuana, First Dates, Halloween, Unresolved Sexual Tension, Recreational Drug Use, Alternate Universe - Non-Magical, Coming Out, Crushes",25,F/M,Explicit,Underage,25921,2021-12-18T06:34:15,2018-12-22,36
17139428,87,No Feelings,"Unresolved Romantic Tension, Sexual Fantasy, Unresolved Sexual Tension, Masturbation, First Time, Summer, Dom/sub Undertones, Canon Gay Relationship, Canon Compliant, Canon Gay Character, Friends to Lovers, 1890s, Horny Teenagers, Best Friends",14,M/M,Teen And Up Audiences,No Archive Warnings Apply,1277,2022-03-01T19:33:03,2018-12-24,39
28590219,31,Madness,"Angst, Hurt/Comfort, Hogwarts Fifth Year, Bisexual Sirius Black, Bisexual Remus Lupin, wolfstar, Freeform, Friends to Lovers, Cute",9,M/M,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,1101,2022-04-24T07:07:43,2021-01-06,15
28611144,34,why wont you ever kiss me?,"Light Angst, Angst with a Happy Ending, Song: Heather (Conan Gray), Happy Ending, Friends to Lovers, Pining",6,F/M,Not Rated,Creator Chose Not To Use Archive Warnings,488,2022-04-25T20:15:49,2021-01-07,15
28635801,305,A Change of Heart,"Fluff and Angst, Angst, Tension, Post-Canon, Additional Tags to Be Added, vague mention of domestic abuse, Auror Harry Potter, Romance, Unhealthy Coping Mechanisms, Explicit Sexual Content, Jealousy, Friends to Lovers, Eventual Sex, mostly canon-compliant, Implied Sexual Content",15,F/M,Mature,Creator Chose Not To Use Archive Warnings,73062,2022-09-06T22:00:44,2021-01-08,20
28683159,183,Good Girl,"Triwizard Tournament, Major Original Character(s), Hurt/Comfort, Smut, Slow Burn, Ravenclaw rep, Quidditch World Cup, POV Original Character, Underage Drinking, Eventual Smut, Ravenclaw, Not Canon Compliant - Harry Potter and the Goblet of Fire, Fluff, Friends to Lovers, Book 4: Harry Potter and the Goblet of Fire, Yule Ball (Harry Potter), Secret Relationship, Recreational Drug Use, Loss of Virginity, Swearing",20,F/M,Mature,Creator Chose Not To Use Archive Warnings,186222,2022-09-07T08:53:49,2021-01-11,20
28782165,21,Pushing Back the Darkness,"Strong Female Characters, Loving Marriage, Slow Burn, Canon Divergence - Post-Harry Potter and the Goblet of Fire, Bigotry & Prejudice, Bisexual Female Character, Alternate Universe, Order of the Phoenix (Harry Potter), Slow Romance, Friends to Lovers, Werewolves",11,F/M,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,14320,2022-09-08T07:28:05,2021-01-16,20
28819524,21,Friends Don't,"The Leaky Cauldron (Harry Potter), Harry Potter Epilogue What Epilogue | EWE, Song Lyrics, Friends to Lovers",4,F/M,Not Rated,Creator Chose Not To Use Archive Warnings,724,2022-04-25T22:08:25,2021-01-17,15
17201570,169,A Demon in the Mist,"Eventual Smut, Hurt/Comfort, Action/Adventure, Eventual Romance, Emotional Hurt/Comfort",5,F/F,Explicit,Underage,54990,2022-09-03T06:29:00,2018-12-28,45
17117345,421,The Dissolution of Hermione Granger,"Alternate Universe - Time Travel, Harry Potter Epilogue What Epilogue | EWE, Dom/sub, Possessive Tom Riddle, The Slytherin Cabal's Twistmas 2018, BDSM, Enemies to Lovers, Explicit Language, Explicit Sexual Content",9,F/M,Explicit,No Archive Warnings Apply,16063,2022-02-27T18:54:15,2018-12-23,38
29273307,21,Dahlias and Lavender Iced Coffee,"Tags Are Hard, Shopping, I’m very attached to her, Kissing, Nova is the name of my oc, Original Character(s), Iced Coffee, Magic, Flowers, Not Canon Compliant, Fluff, Hogsmeade date, Friends to Lovers, linny - Freeform, Nova is a lesbian, First Dates, Hogsmeade, Nova knows what’s up, LGBTQ Themes, Coming Out",20,F/F,General Audiences,No Archive Warnings Apply,1941,2022-04-29T11:05:25,2021-02-07,14
29312268,46,Numb Without You,"Death Eaters, Post-Canon, Angst and Fluff and Smut, Eventual Smut, Slow Burn, Sexual Content, Post-Hogwarts, Fanfiction, Love, Smut, Slytherin, Fluff and Smut, Cross-Posted on Wattpad, Slow Romance, Eventual Romance, Mystery, Post-War, Explicit Language",18,F/M,Mature,No Archive Warnings Apply,151583,2022-04-24T14:44:58,2021-02-09,14
29376759,82,When Death Speaks of Love,"Love Triangles, Unrequited Love, POV Female Character, Magical Tattoos, Female Protagonist, Alternate Universe - Mythology, Potions Master Severus Snape, Magical Accidents, Harry Potter - Freeform, hardship, House Elves, Ghosts, Prophecy, Hogwarts, Prophetic Visions, Deception, Teenage Drama, True Love, Young Love, Alternate Universe - Creatures & Monsters, POV Severus Snape, Riddles, Alternate Universe, Wizarding World (Harry Potter), Grief/Mourning, Eventual Romance, Mystery, Death, Parenting, POV Original Character, Friendship/Love, Not Canon Compliant, Dragons, Alternate Universe - Magic, Family Feels, Alternate Universe - Canon Divergence, Mystery Character(s), Falling In Love, Male-Female Friendship, POV Multiple, The Witcher Lore, Fatherhood, Romance, Rock and Roll, Dark, Mythical Beings & Creatures, Family",47,F/M,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,44332,2022-09-08T08:01:06,2021-02-12,19
29452071,162,Ever Yours,"Pining, Fluff and Angst, Marauders Era (Harry Potter), Werewolf Mates, Hurt/Comfort, #RSCandyHearts, Romance, Fluff, Valentine's Day Fluff, Getting Together, Friends to Lovers, Love Confessions, Emotional Hurt/Comfort, Mild Smut, Valentine's Day",15,M/M,Teen And Up Audiences,No Archive Warnings Apply,4176,2022-04-28T00:34:20,2021-02-14,14
29435682,50,Not So Secret Anymore,"Secret Admirer, Valentine's Day Fluff, Marvelously Magical Fanfiction's Love You To Death Bloody Valentine Fic Fest 2021, Friends to Lovers, Valentine's Day",5,F/M,General Audiences,No Archive Warnings Apply,1987,2022-04-26T15:03:44,2021-02-16,14
29108769,189,In The Middle Of The Street,"Mentioned Peter Pettigrew, Summer, Teenagers, Spider-Man: Far From Home (Movie) Spoilers, Alternate Universe - Muggle, Late at Night, Boys In Love, Mentioned Regulus Black, Getting Together, Teen Romance, Puns & Word Play, Music, Mentioned James Potter, Alternate Universe - Modern Setting, Holding Hands, Fluff, Sarcastic Remus Lupin, Friends to Lovers, First Kiss, First Dates, Stargazing, Late Night Conversations, Alternate Universe - Non-Magical, Sharing a Bed, References to David Bowie, Tall Remus Lupin, Coming Out",27,M/M,Teen And Up Audiences,No Archive Warnings Apply,5450,2022-04-24T15:42:09,2021-02-17,14
29550087,11,Nothing I Can do About It,"Love Triangles, Triwizard Tournament, fred weasley - Freeform, Evil Voldemort (Harry Potter), Wands, Cedric Diggory Lives, theo nott - Freeform, Wizards, Love Triangle, Original Mythology, Hogwarts, Based on a Lana Del Rey Song, Slow Burn, Hogwarts Fourth Year, INCREDIBLY SLOW BURN, Magical Artifacts, Mystical Creatures, Adventure & Romance, Original Character(s), Magic, Cedric Diggory-centric, Eventual Smut, Fred Weasley Lives, Alternate Universe - Harry Potter Setting, Friends to Lovers, Slow Romance, Hogsmeade, Alternate Universe - Hogwarts, Hogwarts Fifth Year, Romance",30,Multi,Mature,Creator Chose Not To Use Archive Warnings,23648,2022-09-09T20:55:59,2021-02-19,19
29429886,58,Flowers in Her Hair,"Anxiety, the best conversations happen under the sheets, Mexico, San Francisco, Adventure, World Travel, Good Theodore Nott, Japanese Character(s), Original Character(s), Minor Character Death, Eventual Romance, MACUSA | Magical Congress of the United States of America, Folklore, Hermione Granger is Bad at Feelings, Humor, Survivor Guilt, Mentions of Cancer, Mexican Character, Pizza",19,F/M,Mature,Creator Chose Not To Use Archive Warnings,26930,2022-09-08T18:04:46,2021-02-14,19
29385483,37,The Founders,"Angst, Hurt/Comfort, Enemies to Lovers",3,F/M,Mature,Creator Chose Not To Use Archive Warnings,10597,2022-04-30T01:56:09,2021-02-14,14
30085800,58,Flying Sparks,"Room of Requirement, Hogwarts Era, Dumbledore's Army, Patronus Charm (Harry Potter), Hogwarts, Eventual Fluff, Slow Burn, Gryffindor Common Room, Mutual Pining, Teen Romance, Eventual Romance, Fluff, Teen Crush, Friends to Lovers, Slow Romance, Falling In Love, Hogsmeade, Chemistry, Gryffindor, Childhood Friends, Romantic Fluff, Romantic Friendship, Eventual Happy Ending",23,F/M,Teen And Up Audiences,No Archive Warnings Apply,6074,2022-04-29T10:24:27,2021-03-16,13
29828466,66,A Game of Pawns,"Hogwarts Eighth Year, Hurt/Comfort, Smoking, Smut, Eye Contact, Explicit Language, Explicit Sexual Content, Lost Hermione, Kinks, Friendly Non-Friendly Competition, depictions of violence, Slow Burn, Caretaker Slytherins, Alcohol, Chess, Eventual Romance, Angst, References to Depression, Mental Health Issues, Eventual Smut, Harry Potter Epilogue What Epilogue | EWE, Hand Kink, Recovery, Sexual Tension, Trauma, Implied/Referenced Self-Harm, Dark Academia, Conflicted Draco",28,Multi,Mature,No Archive Warnings Apply,17546,2022-09-06T19:33:32,2021-03-08,18
30002544,9,Dragon Writer,"POV First Person, Potions Master Draco Malfoy, Alternate Universe - Canon Divergence, Alchemy, Eventual Romance",5,F/M,General Audiences,Creator Chose Not To Use Archive Warnings,8219,2022-09-08T11:17:20,2021-03-12,18
29763003,156,Birth Certificate,"New Year's Eve, Diagon Alley, Hogwarts, Slow Burn, Mild Sexual Content, Party, I mean she's pregnant so obviously they did have sex, Pregnant, Teen Romance, Christmas at the Burrow (Harry Potter), Valentine's Day, Broom Cupboards, or at least they go from being dickheads to each other to lovers, festive scenes, Christmas at Hogwarts, but it's more like snogging in broom cupboards at very bad moments, flying car, Fluff, Enemies to Lovers, it was your classic best man-maid of honour situation, Broken nose, which is the same thing when you're 17, and also: slytherin boy angst, halloween party",24,F/M,Mature,Underage,104080,2022-09-06T04:00:44,2021-02-28,19
29801649,7,The Whisper of Death,"Abuse, accepting Anaideia Zabini, Murder, Hurt/Comfort, why do men, morally grey characters being chaotic, Canon Compliant, Killing Spree, we stan narcissa malfoy, Trans Blaise Zabini, Fluff and Angst, it's going to be a long ride, bisexual Anaideia Zabini, domestic fluff at some point, it's ok to murder nazis, pure-blood supremacy bashing, Minor Character Death, Domestic Violence, Mrs. Zabini's Story, Silvia Bellini vibes, Lucius Malfoy Bashing, Enemies to Lovers, Character Study, transphobic language, Other Additional Tags to Be Added, Ministry of Magic bashing",26,Multi,Mature,Graphic Depictions Of Violence,2923,2022-04-23T17:25:08,2021-03-03,13
30155208,48,When you least expect it,"Hogwarts, Alternate Universe - Hogwarts, Teenage Drama, spice is coming later, sign me tf up, Underage Drinking, wink wink, Slow Burn, Alternate Universe - No Voldemort, Hogwarts Sixth Year, Teen Romance, cedric is in his 7th year while the rest are in their 6th, partying at hogwarts woho, Enemies to Lovers, Enemies to Friends to Lovers",15,F/F,Mature,Creator Chose Not To Use Archive Warnings,9469,2022-09-09T22:09:23,2021-03-20,18
30245463,239,The Smell of Winter,"Mutual Pining, Oblivious Remus Lupin, Friends to Lovers",3,F/M,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,4342,2022-04-26T19:16:09,2021-03-24,13
30262782,20,Unlock my love,"code breaker gringotts, implied happy ending, Slow Build, Friendship, Archaeology, Eventual Relationships, Slow Burn, Eventual Fluff, Romantic Fluff, Post-Hogwarts, Egypt, Fluff, Friends to Lovers, Eventual Romance, Romantic Friendship, Slow Romance, Falling In Love, Eventual Happy Ending",18,F/M,Teen And Up Audiences,No Archive Warnings Apply,5881,2022-04-28T06:03:21,2021-03-25,13
