,Keywords,Keyword_Count,Ratings,Rating_Count,ContentWarning,ContentWarning_Count,RomanticCategory,RomanticCategory_Count
0,Friends to Lovers,207,Explicit,124.0,No Archive Warnings Apply,158.0,M/M,276.0
1,Alpha/Beta/Omega Dynamics,150,Mature,98.0,Creator Chose Not To Use Archive Warnings,142.0,F/M,132.0
2,Fluff,94,Teen And Up Audiences,73.0,Graphic Depictions Of Violence,48.0,F/F,43.0
3,Enemies to Lovers,91,Not Rated,40.0,Major Character Death,8.0,Multi,29.0
4,Slow Burn,62,General Audiences,29.0,Underage,6.0,Gen,25.0
5,Eventual Romance,57,,,Rape/Non-Con,2.0,Other,8.0
6,Angst,53,,,,,,
7,Smut,46,,,,,,
8,Mating Cycles/In Heat,41,,,,,,
9,Romance,41,,,,,,
10,Eventual Smut,41,,,,,,
11,Natural Disasters,38,,,,,,
12,Hurt/Comfort,38,,,,,,
13,Alpha Jeon Jungkook,37,,,,,,
14,Pining,36,,,,,,
15,Fluff and Angst,34,,,,,,
16,First Kiss,34,,,,,,
17,Mutual Pining,34,,,,,,
18,Anal Sex,32,,,,,,
19,Knotting,30,,,,,,
20,Falling In Love,28,,,,,,
21,Happy Ending,28,,,,,,
22,Alternate Universe,27,,,,,,
23,Childhood Friends,27,,,,,,
24,Omega Park Jimin (BTS),26,,,,,,
25,Angst with a Happy Ending,26,,,,,,
26,Fluff and Smut,25,,,,,,
27,Friendship,24,,,,,,
28,Explicit Sexual Content,24,,,,,,
29,Getting Together,22,,,,,,
30,Other Additional Tags to Be Added,21,,,,,,
31,First Time,20,,,,,,
32,Anal Fingering,20,,,,,,
33,Omega Verse,20,,,,,,
34,Alternate Universe - College/University,19,,,,,,
35,Alpha/Omega,19,,,,,,
36,Best Friends,18,,,,,,
37,Abandoned Work - Unfinished and Discontinued,18,,,,,,
38,Light Angst,17,,,,,,
39,Canon Compliant,17,,,,,,
40,Hogwarts,17,,,,,,
41,Scenting,17,,,,,,
42,Love Confessions,17,,,,,,
43,Alpha Kim Taehyung | V,16,,,,,,
44,Top Jeon Jungkook,16,,,,,,
45,Sexual Tension,16,,,,,,
46,Enemies to Friends to Lovers,16,,,,,,
47,Emotional Hurt/Comfort,15,,,,,,
48,Omega Jeon Jungkook,15,,,,,,
49,Humor,14,,,,,,
50,Idiots in Love,14,,,,,,
51,Domestic Fluff,14,,,,,,
52,Cuddling & Snuggling,14,,,,,,
53,Non-Traditional Alpha/Beta/Omega Dynamics,14,,,,,,
54,Roommates,14,,,,,,
55,Misunderstandings,14,,,,,,
56,Alternate Universe - Canon Divergence,13,,,,,,
57,Strangers to Lovers,13,,,,,,
58,Implied Mpreg,13,,,,,,
59,Rimming,12,,,,,,
60,Blow Jobs,12,,,,,,
61,Mpreg,12,,,,,,
62,Alternate Universe - Modern Setting,12,,,,,,
63,Omega Kim Taehyung | V,12,,,,,,
64,Bottom Park Jimin (BTS),11,,,,,,
65,Friendship/Love,11,,,,,,
66,Oral Sex,11,,,,,,
67,Masturbation,11,,,,,,
68,Rough Sex,11,,,,,,
69,Jealousy,11,,,,,,
70,Kissing,11,,,,,,
71,Post-Traumatic Stress Disorder - PTSD,11,,,,,,
72,Alternate Universe - Hogwarts,10,,,,,,
73,Omega Louis,10,,,,,,
74,Omega Castiel,10,,,,,,
75,Dirty Talk,10,,,,,,
76,Alpha Harry,10,,,,,,
77,Alternate Universe - High School,10,,,,,,
78,Eventual Happy Ending,10,,,,,,
79,Panic Attacks,10,,,,,,
80,Jeon Jungkook is Whipped,10,,,,,,
81,Porn with Feelings,10,,,,,,
82,Minor Character Death,10,,,,,,
83,Love,10,,,,,,
84,Post-Hogwarts,9,,,,,,
85,Mating Bites,9,,,,,,
86,Alpha Park Jimin (BTS),9,,,,,,
87,Fluff and Humor,9,,,,,,
88,Tooth-Rotting Fluff,9,,,,,,
89,Alpha Dean,9,,,,,,
90,Marauders,9,,,,,,
91,Marauders Era (Harry Potter),9,,,,,,
92,Boys Kissing,8,,,,,,
93,Jeon Jungkook is a Little Shit,8,,,,,,
94,Action/Adventure,8,,,,,,
95,Explicit Language,8,,,,,,
96,Alpha Min Yoongi | Suga,8,,,,,,
97,Bottom Jeon Jungkook,8,,,,,,
98,Romantic Fluff,8,,,,,,
99,Blood and Injury,8,,,,,,
100,Friends With Benefits,8,,,,,,
101,Alternate Universe - Fantasy,8,,,,,,
102,Slow Build,8,,,,,,
103,Developing Relationship,8,,,,,,
104,Kim Taehyung | V & Park Jimin are Best Friends,8,,,,,,
105,Violence,8,,,,,,
106,Pack Dynamics,8,,,,,,
107,Slow Romance,8,,,,,,
108,Coming Out,8,,,,,,
109,Drinking,8,,,,,,
110,Hand Jobs,8,,,,,,
111,Alpha Kim Namjoon | RM,8,,,,,,
112,Boys In Love,8,,,,,,
113,Swearing,8,,,,,,
114,Original Character(s),8,,,,,,
115,Alpha Jung Hoseok | J-Hope,7,,,,,,
116,Implied/Referenced Child Abuse,7,,,,,,
117,Global Warming,7,,,,,,
118,Recreational Drug Use,7,,,,,,
119,Romantic Friendship,7,,,,,,
120,Alpha Castiel (Supernatural),7,,,,,,
121,Alpha Bakugou Katsuki,7,,,,,,
122,Flirting,7,,,,,,
123,Slice of Life,7,,,,,,
124,Angst and Fluff and Smut,7,,,,,,
125,Established Relationship,7,,,,,,
126,Hogwarts Eighth Year,7,,,,,,
127,Omega Dean,6,,,,,,
128,Banter,6,,,,,,
129,Post-War,6,,,,,,
130,Slytherin,6,,,,,,
131,Harry Potter Epilogue What Epilogue | EWE,6,,,,,,
132,Mystery,6,,,,,,
133,Trauma,6,,,,,,
134,Secret Relationship,6,,,,,,
135,Crushes,6,,,,,,
136,Marauders' Era,6,,,,,,
137,Teen Romance,6,,,,,,
138,Hate to Love,6,,,,,,
139,Mating Bond,6,,,,,,
140,Frottage,6,,,,,,
141,Gryffindor,6,,,,,,
142,Underage Drinking,6,,,,,,
143,Unrequited Love,6,,,,,,
144,LGBTQ Themes,6,,,,,,
145,Top Kim Taehyung | V,6,,,,,,
146,Bullying,6,,,,,,
147,Semi-Public Sex,6,,,,,,
148,Character Death,6,,,,,,
149,Soulmates,6,,,,,,
150,Magic,6,,,,,,
151,Alternate Universe - Soulmates,6,,,,,,
152,Omega Midoriya Izuku,6,,,,,,
153,Dark,5,,,,,,
154,Recovery,5,,,,,,
155,Implied/Referenced Self-Harm,5,,,,,,
156,Anxiety,5,,,,,,
157,Alternate Universe - Non-Magical,5,,,,,,
158,Alternate Universe - Royalty,5,,,,,,
159,Complete,5,,,,,,
160,Unresolved Sexual Tension,5,,,,,,
161,Alternate Universe - Harry Potter Setting,5,,,,,,
162,Sharing a Bed,5,,,,,,
163,Omega Kim Seokjin | Jin,5,,,,,,
164,Omega Katsuki Yuuri,5,,,,,,
165,Plot What Plot/Porn Without Plot,5,,,,,,
166,Not Beta Read,5,,,,,,
167,Nesting,5,,,,,,
168,Family,5,,,,,,
169,Growing Up,5,,,,,,
170,Grief/Mourning,5,,,,,,
171,Porn With Plot,5,,,,,,
172,Sexual Content,5,,,,,,
173,Drarry,5,,,,,,
174,Work In Progress,5,,,,,,
175,Miscommunication,5,,,,,,
176,Dom/sub,5,,,,,,
177,POV Draco Malfoy,5,,,,,,
178,Not Canon Compliant,5,,,,,,
179,Swimming,5,,,,,,
180,Sex,5,,,,,,
181,Barebacking,5,,,,,,
182,Implied/Referenced Torture,5,,,,,,
183,Omega Louis Tomlinson,5,,,,,,
184,POV Harry Potter,5,,,,,,
185,First Meetings,5,,,,,,
186,Awkward Flirting,5,,,,,,
187,Loss of Virginity,5,,,,,,
188,Alternate Universe - Muggle,5,,,,,,
189,Alpha Harry Styles,5,,,,,,
190,Time Skips,5,,,,,,
191,Implied/Referenced Rape/Non-con,5,,,,,,
192,Omega Min Yoongi | Suga,5,,,,,,
193,Arranged Marriage,5,,,,,,
194,Possessive Behavior,5,,,,,,
195,Kinda,5,,,,,,
196,Insecurity,5,,,,,,
197,Rape/Non-con Elements,4,,,,,,
198,Bottom Castiel,4,,,,,,
199,Tags May Change,4,,,,,,
200,Environmentalism,4,,,,,,
201,Dreams and Nightmares,4,,,,,,
202,Dubious Consent,4,,,,,,
203,Jeon Jungkook is Bad at Feelings,4,,,,,,
204,Gay,4,,,,,,
205,Teenage Drama,4,,,,,,
206,Action & Romance,4,,,,,,
207,Self-Esteem Issues,4,,,,,,
208,No Smut,4,,,,,,
209,Manipulation,4,,,,,,
210,Mildly Dubious Consent,4,,,,,,
211,Dragons,4,,,,,,
212,Love Triangles,4,,,,,,
213,Past Child Abuse,4,,,,,,
214,Implied/Referenced Domestic Violence,4,,,,,,
215,Self-Lubrication,4,,,,,,
216,Death Eaters,4,,,,,,
217,LGBTQ Character,4,,,,,,
218,Hogwarts Seventh Year,4,,,,,,
219,Drug Use,4,,,,,,
220,Canonical Character Death,4,,,,,,
221,Fantasy,4,,,,,,
222,Post-Apocalypse,4,,,,,,
223,Depression,4,,,,,,
224,POV First Person,4,,,,,,
225,Implied Sexual Content,4,,,,,,
226,Praise Kink,4,,,,,,
227,Alternate Universe - Arranged Marriage,4,,,,,,
228,References to Depression,4,,,,,,
229,Shameless Smut,4,,,,,,
230,Attempted Rape/Non-Con,4,,,,,,
231,Alcohol,4,,,,,,
232,Alternate Universe - No Voldemort,4,,,,,,
233,Eventual Relationships,4,,,,,,
234,Smoking,4,,,,,,
235,Childhood Trauma,4,,,,,,
236,Eventual Fluff,4,,,,,,
237,Hogwarts Era,4,,,,,,
238,Secrets,4,,,,,,
239,Park Jimin is Whipped (BTS),4,,,,,,
240,Vaginal Sex,4,,,,,,
241,Rutting,4,,,,,,
242,Age Difference,4,,,,,,
243,Blood Kink,4,,,,,,
244,Not Actually Unrequited Love,4,,,,,,
245,Alpha Victor Nikiforov,4,,,,,,
246,Choking,4,,,,,,
247,Suicidal Thoughts,4,,,,,,
248,Past Rape/Non-con,4,,,,,,
249,My First Fanfic,4,,,,,,
250,Beta Jung Hoseok | J-Hope,4,,,,,,
251,Enemies to Friends,4,,,,,,
252,Drama,4,,,,,,
253,Christmas,4,,,,,,
254,Accidental Bonding,4,,,,,,
255,Series,4,,,,,,
256,Omega Harry,4,,,,,,
257,Cheating,4,,,,,,
258,Scent Marking,4,,,,,,
259,Implied/Referenced Character Death,4,,,,,,
260,Making Out,4,,,,,,
261,First Dates,4,,,,,,
262,Bottom Kim Taehyung | V,4,,,,,,
263,wolfstar,4,,,,,,
264,POV Original Character,4,,,,,,
265,Bisexual Remus Lupin,4,,,,,,
266,Major Original Character(s),4,,,,,,
267,Beta Kim Seokjin | Jin,4,,,,,,
268,Protective Jeon Jungkook,4,,,,,,
269,Ravenclaw,4,,,,,,
270,Werewolves,4,,,,,,
271,Dom/sub Undertones,4,,,,,,
272,One Shot,4,,,,,,
273,Second Chances,4,,,,,,
274,POV Alternating,4,,,,,,
275,Literal Sleeping Together,4,,,,,,
276,Confessions,4,,,,,,
277,Post-Canon,4,,,,,,
278,Prank Wars,3,,,,,,
279,SPN A/B/O Bingo,3,,,,,,
280,Tragedy,3,,,,,,
281,Lesbian Marlene McKinnon,3,,,,,,
282,Alternate Universe - Superheroes/Superpowers,3,,,,,,
283,I'm Bad At Tagging,3,,,,,,
284,Major Character Injury,3,,,,,,
285,Betrayal,3,,,,,,
286,Slut Shaming,3,,,,,,
287,Hair-pulling,3,,,,,,
288,Requited Love,3,,,,,,
289,Bottom Louis,3,,,,,,
