words,amount_keywords,up_time,keyword,rating,contentWarning,romanticCategory,kudos
3538,16,18,3.6483269701674272,1.0,1.0,0.0,1567
79,60,29,5.66347795751679,1.0,1.956887864209901,0.0,2
3142,23,60,4.181209087371109,1.4142135623730951,2.5968491788439394,0.0,120
98580,18,194,4.034500832190512,1.9967620011132508,1.956887864209901,0.0,43
34847,48,56,5.832576931882064,1.0,2.5968491788439394,0.0,70
19193,53,52,4.848548648965789,1.0,2.5968491788439394,0.0,93
89503,39,39,5.964071754044077,1.0,2.5968491788439394,0.0,4774
53003,102,14,5.059934669738118,1.9967620011132508,1.956887864209901,0.0,465
8223,58,6,5.507569047763184,1.0,1.956887864209901,0.0,105
8141,160,4,8.624620859551161,1.0,1.956887864209901,0.0,332
3348,38,3,5.437268186967769,1.9967620011132508,1.956887864209901,0.0,55
40840,63,2,5.704953689035651,1.0,2.5968491788439394,0.0,97
1898,168,38,5.746638141345891,1.0,2.5968491788439394,0.0,201
1359,90,1,5.9455431437695445,1.0,1.956887864209901,0.0,60
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
7758,57,62,6.067961983221719,1.0,1.956887864209901,0.0,422
8219,15,18,3.533204784724349,1.3828992025720797,2.5968491788439394,0.0,9
6808,93,1,6.7333648950848355,1.9967620011132508,2.5968491788439394,0.0,153
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
46818,17,38,2.799946057245335,1.9967620011132508,2.5968491788439394,0.0,365
5077,35,96,4.708572139494375,1.4142135623730951,2.5968491788439394,0.0,1417
45015,77,14,7.14440832043992,1.0,2.0,0.0,42
18720,39,15,5.534117247787954,1.0,2.5968491788439394,0.0,157
1704,20,43,4.117003616557776,1.4142135623730951,2.5968491788439394,0.0,81
4760,43,35,4.890749749969091,1.0,2.5968491788439394,0.0,1105
7590,32,51,4.629531862317785,1.0,1.956887864209901,0.0,876
4599,47,71,5.458554260391649,1.0,2.5968491788439394,0.0,175
140747,156,14,9.764553082331286,1.0,2.0,0.0,95
2278,6,43,1.9628572289521466,1.9967620011132508,1.956887864209901,0.0,712
4933,108,38,7.5308214755261,1.4142135623730951,1.956887864209901,0.0,240
2117,18,53,3.3777264911855207,1.3828992025720797,1.956887864209901,0.0,58
